OBJECTID,Shape,ID_PARADERO,ID_PARADA,ID_RUTA,NRO_PARADA,DIRECCION,TIPO_PARADA,RECORRIDO,CODIGO_RUTA,NOMBRE_RUTA,SISTEMA_RUTA,TIPO_RUTA,EMPRESA,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
64,"(825262.7380000001, 1189981.5662)",50082,90353004,90353,4.0,"CR 151AB 98A-881, Medellin",Reglamentaria,Origen-Destino,255 V3 HOR ESP,Boqueron Centro Horario Especial,2A,Directa Centro,Rápido San Cristóbal,825262.738,1189981.5662,-75.65628861,6.3120541
65,"(825262.7380000001, 1189981.5662)",50082,90090004,90090,4.0,"CR 151AB 98A-881, Medellin",Reglamentaria,Origen-Destino,255V3 ,Derecha Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,825262.738,1189981.5662,-75.65628861,6.3120541
66,"(825268.4900000006, 1189979.8482)",50083,90353091,90353,91.0,"CR 151AB 98A-898, Medellin",Reglamentaria,Destino-Origen,255 V3 HOR ESP,Boqueron Centro Horario Especial,2A,Directa Centro,Rápido San Cristóbal,825268.49,1189979.8482,-75.65623663,6.31203858
67,"(825268.4900000006, 1189979.8482)",50083,90091012,90091,12.0,"CR 151AB 98A-898, Medellin",Reglamentaria,Destino-Origen,255V3,Izquierda Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,825268.49,1189979.8482,-75.65623663,6.31203858
68,"(825321.9326000001, 1189650.27)",50087,90353005,90353,5.0,"CR 151AB 98A-615, Medellin",Reglamentaria,Origen-Destino,255 V3 HOR ESP,Boqueron Centro Horario Especial,2A,Directa Centro,Rápido San Cristóbal,825321.9326,1189650.27,-75.65575324,6.30905912
69,"(825321.9326000001, 1189650.27)",50087,90090005,90090,5.0,"CR 151AB 98A-615, Medellin",Reglamentaria,Origen-Destino,255V3 ,Derecha Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,825321.9326,1189650.27,-75.65575324,6.30905912
70,"(825340.1488, 1189560.0580000002)",50090,90353090,90353,90.0,"CR 151AB x CL 81, Medellin",Reglamentaria,Destino-Origen,255 V3 HOR ESP,Boqueron Centro Horario Especial,2A,Directa Centro,Rápido San Cristóbal,825340.1488,1189560.058,-75.65558851,6.30824359
71,"(825340.1488, 1189560.0580000002)",50090,90091011,90091,11.0,"CR 151AB x CL 81, Medellin",Reglamentaria,Destino-Origen,255V3,Izquierda Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,825340.1488,1189560.058,-75.65558851,6.30824359
72,"(825370.1894, 1186446.3590000002)",50093,90330004,90330,4.0,"CL 63 x CR 153, Medellin",Reglamentaria,Origen-Destino,C23i,El Patio-estación San Javier,8A,Integrada,Tax Maya,825370.1894,1186446.359,-75.65531221,6.28009433
73,"(825560.9136000001, 1186340.1824000003)",50114,90330005,90330,5.0,"CL 63 x CR 153, Medellin",Reglamentaria,Origen-Destino,C23i,El Patio-estación San Javier,8A,Integrada,Tax Maya,825560.9136,1186340.1824,-75.65358888,6.27913474
74,"(825577.7368, 1186342.3571000001)",50115,90330091,90330,91.0,"CL 63 145-602, Medellin",Reglamentaria,Destino-Origen,C23i,El Patio-estación San Javier,8A,Integrada,Tax Maya,825577.7368,1186342.3571,-75.65343688,6.27915442
75,"(825668.4291, 1185657.8375)",50126,90328085,90328,85.0,"CL 60C x CR 152C, Medellin",Reglamentaria,Destino-Origen,C23i IZQUIERA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,825668.4291,1185657.8375,-75.65261646,6.27296618
76,"(825668.4291, 1185657.8375)",50126,90331090,90331,90.0,"CL 60C x CR 152C, Medellin",Reglamentaria,Destino-Origen,C23i,La Palma-estación San Javier,8A,Integrada,Tax Maya,825668.4291,1185657.8375,-75.65261646,6.27296618
77,"(825668.4291, 1185657.8375)",50126,90355083,90355,83.0,"CL 60C x CR 152C, Medellin",Reglamentaria,Destino-Origen,C23i DERECHA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,825668.4291,1185657.8375,-75.65261646,6.27296618
78,"(825670.4384, 1185650.205)",50127,90328001,90328,1.0,"CL 60C 152C-407, Medellin",Reglamentaria,Origen-Destino,C23i IZQUIERA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,825670.4384,1185650.205,-75.65259829,6.27289718
79,"(825670.4384, 1185650.205)",50127,90331001,90331,1.0,"CL 60C 152C-407, Medellin",Reglamentaria,Origen-Destino,C23i,La Palma-estación San Javier,8A,Integrada,Tax Maya,825670.4384,1185650.205,-75.65259829,6.27289718
80,"(825670.4384, 1185650.205)",50127,90355001,90355,1.0,"CL 60C 152C-407, Medellin",Reglamentaria,Origen-Destino,C23i DERECHA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,825670.4384,1185650.205,-75.65259829,6.27289718
81,"(825722.6498, 1186247.4929)",50131,90330006,90330,6.0,"CL 63 145-493, Medellin",Reglamentaria,Origen-Destino,C23i,El Patio-estación San Javier,8A,Integrada,Tax Maya,825722.6498,1186247.4929,-75.65212747,6.27829702
82,"(825734.25, 1186248.6659)",50133,90330090,90330,90.0,"CL 63 145-428, Medellin",Reglamentaria,Destino-Origen,C23i,El Patio-estación San Javier,8A,Integrada,Tax Maya,825734.25,1186248.6659,-75.65202267,6.27830764
83,"(825775.5608000006, 1190794.4882999999)",50136,90090017,90090,17.0,"CR 131 x CL 107, Medellin",Reglamentaria,Destino-Origen,255V3 ,Derecha Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,825775.5608,1190794.4883,-75.65165625,6.31940408
84,"(825789.7184, 1190761.0214)",50138,90091002,90091,2.0,"CR 131 x CL 99A, Medellin",Reglamentaria,Origen-Destino,255V3,Izquierda Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,825789.7184,1190761.0214,-75.65152828,6.31910155
85,"(825872.3707, 1185700.3845000002)",50144,90331002,90331,2.0,"CL 60C 152C-201, Medellin",Reglamentaria,Origen-Destino,C23i,La Palma-estación San Javier,8A,Integrada,Tax Maya,825872.3707,1185700.3845,-75.65077396,6.27335113
86,"(825875.1913, 1186143.1083)",50145,90330007,90330,7.0,"CL 63 145-261, Medellin",Reglamentaria,Origen-Destino,C23i,El Patio-estación San Javier,8A,Integrada,Tax Maya,825875.1913,1186143.1083,-75.65074913,6.27735356
87,"(825877.4228000001, 1186148.8244000003)",50146,90330089,90330,89.0,"CL 63 145-266, Medellin",Reglamentaria,Destino-Origen,C23i,El Patio-estación San Javier,8A,Integrada,Tax Maya,825877.4228,1186148.8244,-75.65072897,6.27740524
88,"(825877.5269, 1188128.7476)",50147,90353006,90353,6.0,"CR 151 75A-175, Medellin",Reglamentaria,Origen-Destino,255 V3 HOR ESP,Boqueron Centro Horario Especial,2A,Directa Centro,Rápido San Cristóbal,825877.5269,1188128.7476,-75.65073097,6.29530468
89,"(825877.5269, 1188128.7476)",50147,90090006,90090,6.0,"CR 151 75A-175, Medellin",Reglamentaria,Origen-Destino,255V3 ,Derecha Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,825877.5269,1188128.7476,-75.65073097,6.29530468
90,"(825885.0141000006, 1187161.9791)",50149,90332001,90332,1.0,"CR 152 67A-20 Vda Las Playas, Medellin",Reglamentaria,Origen-Destino,C23i,Las Playas-estación San Javier,8A,Integrada,Tax Maya,825885.0141,1187161.9791,-75.65066189,6.28656465
91,"(825889.6354, 1188123.246)",50150,90353089,90353,89.0,"CR 151 x CL 79, Medellin",Reglamentaria,Destino-Origen,255 V3 HOR ESP,Boqueron Centro Horario Especial,2A,Directa Centro,Rápido San Cristóbal,825889.6354,1188123.246,-75.65062156,6.29525496
92,"(825889.6354, 1188123.246)",50150,90091010,90091,10.0,"CR 151 x CL 79, Medellin",Reglamentaria,Destino-Origen,255V3,Izquierda Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,825889.6354,1188123.246,-75.65062156,6.29525496
93,"(825933.2628000004, 1187134.0801)",50151,90332090,90332,90.0,"CR 152 67-164, Medellin",Reglamentaria,Destino-Origen,C23i,Las Playas-estación San Javier,8A,Integrada,Tax Maya,825933.2628,1187134.0801,-75.65022592,6.2863125
94,"(825937.1687, 1187050.4784)",50152,90332002,90332,2.0,"CR 152 67-131, Medellin",Reglamentaria,Origen-Destino,C23i,Las Playas-estación San Javier,8A,Integrada,Tax Maya,825937.1687,1187050.4784,-75.65019051,6.28555671
95,"(825966.9739, 1187641.1784)",50158,90086013,90086,13.0,"CR 152 70-227, Medellin",Reglamentaria,Origen-Destino,255P,Palmitas-Centro,2A,Directa Centro,Rápido San Cristóbal,825966.9739,1187641.1784,-75.64992208,6.29089696
96,"(825966.9739, 1187641.1784)",50158,90347003,90347,3.0,"CR 152 70-227, Medellin",Reglamentaria,Origen-Destino,255V4,Las Playas,2A,Directa No Centro,Rápido San Cristóbal,825966.9739,1187641.1784,-75.64992208,6.29089696
97,"(825994.3472, 1187668.256)",50160,90086008,90086,8.0,"CR 152 x CL 67, Medellin",Reglamentaria,Origen-Destino,255P,Palmitas-Centro,2A,Directa Centro,Rápido San Cristóbal,825994.3472,1187668.256,-75.6496748,6.29114179
98,"(825994.3472, 1187668.256)",50160,90347014,90347,14.0,"CR 152 x CL 67, Medellin",Reglamentaria,Destino-Origen,255V4,Las Playas,2A,Directa No Centro,Rápido San Cristóbal,825994.3472,1187668.256,-75.6496748,6.29114179
99,"(826020.8608000004, 1186155.4854000001)",50163,90330088,90330,88.0,"CL 63 145-198, Medellin",Reglamentaria,Destino-Origen,C23i,El Patio-estación San Javier,8A,Integrada,Tax Maya,826020.8608,1186155.4854,-75.64943304,6.27746567
